id_original,id_souldata,nombre_tripadvisor,nombre_souldata,link,score,n_reviews,description,categoria,subcategoría,departamento,ciudad,entra_analisis,entra_global,lat,long,geo_manual
161,160,Viento a Favor,Paseo de Los Artesanos,/Attraction_Review-g316035-d12652179-Reviews-Viento_a_Favor-El_Chalten_Province_of_Santa_Cruz_Patagonia.html,4.5,36,Bike Tours â€¢ Nature & Wildlife Tours,Prestadores turísticos,Receptivos,,,,,-49.3264887,-72.8901749,1
162,161,TodoCalafate,TodoCalafate,/Attraction_Review-g312851-d1483351-Reviews-TodoCalafate-El_Calafate_Province_of_Santa_Cruz_Patagonia.html,4.5,91,Sightseeing Tours,Prestadores turísticos,Excursiones y aventura,Lago Argentino,El Calafate,1.0,1.0,-50.337969,-72.2647982,1
163,162,Puerto Penacho Excursiones,Puerto Penacho Excursiones,/Attraction_Review-g887127-d6648432-Reviews-Puerto_Penacho_Excursiones-Puerto_Deseado_Province_of_Santa_Cruz_Patagonia.html,5.0,44,Other Outdoor Activities,Prestadores turísticos,Receptivos,,,,,-47.750332,-65.901489,0
164,163,Los Vikingos,Los Vikingos,/Attraction_Review-g887127-d10006480-Reviews-Los_Vikingos-Puerto_Deseado_Province_of_Santa_Cruz_Patagonia.html,5.0,35,Boat Tours â€¢ Dolphin & Whale Watching,Prestadores turísticos,Receptivos,,,,,-47.7567953,-65.9015402,1
165,164,Anfibio Adventure Tourism,Anfibio Turismo,/Attraction_Review-g316035-d15610193-Reviews-Anfibio_Adventure_Tourism-El_Chalten_Province_of_Santa_Cruz_Patagonia.html,5.0,24,Scuba & Snorkelling â€¢ Eco Tours,Prestadores turísticos,Receptivos,,,,,-49.3292785,-72.8920031,1
166,165,Gray Line Argentina,Gray Line Argentina,/Attraction_Review-g312851-d2038345-Reviews-Gray_Line_Argentina-El_Calafate_Province_of_Santa_Cruz_Patagonia.html,4.0,100,Sightseeing Tours,Prestadores turísticos,Excursiones y aventura,Lago Argentino,El Calafate,1.0,1.0,-50.337969,-72.2647982,1
167,166,Patagonia Night,Patagonia Night,/Attraction_Review-g312851-d21234094-Reviews-Patagonia_Night-El_Calafate_Province_of_Santa_Cruz_Patagonia.html,4.5,52,Nature & Wildlife Tours,Prestadores turísticos,Receptivos,,,,,-50.3478607,-72.2746063,1
168,167,Hls Travesias,Hls Travesias,/Attraction_Review-g312851-d10387725-Reviews-Hls_Travesias-El_Calafate_Province_of_Santa_Cruz_Patagonia.html,5.0,32,Bike Tours,Prestadores turísticos,Receptivos,,,,,-50.336944,-72.2618302,1
169,168,Rent My Bike,Rent My Bike,/Attraction_Review-g312851-d8761578-Reviews-Rent_My_Bike-El_Calafate_Province_of_Santa_Cruz_Patagonia.html,5.0,34,Gear Rentals,Prestadores turísticos,Transporte,,,,,-50.337969,-72.2647982,1
170,169,VIAJAR  EN PATAGONIA,Viajar en Patagonia,/Attraction_Review-g312851-d18850692-Reviews-VIAJAR_EN_PATAGONIA-El_Calafate_Province_of_Santa_Cruz_Patagonia.html,5.0,18,Taxis & Shuttles,Prestadores turísticos,Transporte,,,,,-50.337969,-72.2647982,1
171,170,Aike Traslados,Aike Traslados,/Attraction_Review-g312851-d15013307-Reviews-Aike_Traslados-El_Calafate_Province_of_Santa_Cruz_Patagonia.html,4.5,40,Taxis & Shuttles â€¢ Nature & Wildlife Tours,Prestadores turísticos,Transporte,,,,,-50.3367255,-72.2680698,1
172,171,Patagonian Wind Transfers,Patagonian Wind Transfers,/Attraction_Review-g312851-d12882230-Reviews-Patagonian_Wind_Transfers-El_Calafate_Province_of_Santa_Cruz_Patagonia.html,5.0,28,Taxis & Shuttles,Prestadores turísticos,Transporte,,,,,-50.347809,-72.241478,0
173,172,TRASLADOS EL CALAFATE,Traslados El Calafate,/Attraction_Review-g312851-d20621732-Reviews-TRASLADOS_EL_CALAFATE-El_Calafate_Province_of_Santa_Cruz_Patagonia.html,5.0,18,Taxis & Shuttles,Prestadores turísticos,Transporte,,,,,-50.344318,-72.27446,0
174,173,Puerto de Frutos,Puerto de Frutos,/Attraction_Review-g312851-d4555847-Reviews-Puerto_de_Frutos-El_Calafate_Province_of_Santa_Cruz_Patagonia.html,4.0,66,Speciality & Gift Shops,Prestadores turísticos,Comercio y gastronomía,,,,,-50.338081,-72.26609,0
175,174,Vellon Negro,Vellon Negro,/Attraction_Review-g312851-d13224601-Reviews-Vellon_Negro-El_Calafate_Province_of_Santa_Cruz_Patagonia.html,5.0,23,Speciality & Gift Shops,Prestadores turísticos,Comercio y gastronomía,,,,,-50.338356,-72.271088,0
176,175,Gooshe Aike,Gooshe Aike,/Attraction_Review-g312851-d10139402-Reviews-Gooshe_Aike-El_Calafate_Province_of_Santa_Cruz_Patagonia.html,4.5,29,Boat Tours â€¢ Sightseeing Tours,Prestadores turísticos,Receptivos,,,,,-50.356076,-72.250991,1
177,176,Mirador del Rio de las Vueltas,Mirador del Río de las Vueltas,/Attraction_Review-g316035-d7238621-Reviews-Mirador_del_Rio_de_las_Vueltas-El_Chalten_Province_of_Santa_Cruz_Patagonia.html,4.5,58,Other Outdoor Activities,Áreas naturales,Miradores,,,,,-49.3186463,-72.896047,1
178,177,Glaciar Turismo,Glaciar Turismo,/Attraction_Review-g312851-d19846557-Reviews-Glaciar_Turismo-El_Calafate_Province_of_Santa_Cruz_Patagonia.html,5.0,20,"4WD, ATV & Off-Road Tours â€¢ Taxis & Shuttles",Prestadores turísticos,Receptivos,,,,,-50.3348951,-72.2536393,1
179,178,Cabalgatas Rio Mitre,Cabalgatas Río Mitre,/Attraction_Review-g312851-d2662492-Reviews-Cabalgatas_Rio_Mitre-El_Calafate_Province_of_Santa_Cruz_Patagonia.html,4.5,42,Nature & Wildlife Tours,Prestadores turísticos,Receptivos,,,,,-50.337969,-72.2647982,1
